0,0,2000,2000,0,0,2000,2000
0,50,2000,2000,50,50,2000,2000
0,50,100,100,50,50,2000,2000
25,50,2000,2000,50,50,2000,2000
25,50,100,100,50,50,2000,2000
0,100,2000,2000,100,100,2000,2000
0,100,100,100,100,100,2000,2000
50,100,2000,2000,100,100,2000,2000
50,100,100,100,100,100,2000,2000
0,150,2000,2000,150,150,2000,2000
0,150,100,100,150,150,2000,2000
75,150,2000,2000,150,150,2000,2000
75,150,100,100,150,150,2000,2000
0,200,2000,2000,200,200,2000,2000
0,200,100,100,200,200,2000,2000
100,200,2000,2000,200,200,2000,2000
100,200,100,100,200,200,2000,2000
